TMDb ID,IMDb ID,Type,Name,Release Date,Season Number,Episode Number,Rating,Your Rating,Date Rated
634649,tt10872600,movie,Spider-Man: No Way Home,2021-12-15T00:00:00Z,,,8.388,10.0,2022-02-11T12:26:42Z
568124,tt2953050,movie,Encanto,2021-11-24T00:00:00Z,,,7.764,8.0,2022-02-11T12:27:11Z
524434,tt9032400,movie,Eternals,2021-11-03T00:00:00Z,,,7.212,2.0,2022-02-11T12:27:16Z
566525,tt9376612,movie,Shang-Chi and the Legend of the Ten Rings,2021-09-01T00:00:00Z,,,7.776,6.0,2022-02-11T12:27:46Z
512195,tt7991608,movie,Red Notice,2021-11-04T00:00:00Z,,,6.795,4.0,2022-02-11T12:28:08Z
459151,tt6932874,movie,The Boss Baby: Family Business,2021-07-01T00:00:00Z,,,7.614,2.0,2022-02-11T12:28:30Z
438631,tt1160419,movie,Dune,2021-09-15T00:00:00Z,,,7.912,10.0,2022-02-11T12:28:36Z
370172,tt2382320,movie,No Time to Die,2021-09-29T00:00:00Z,,,7.488,8.0,2022-02-11T12:28:43Z
550988,tt6264654,movie,Free Guy,2021-08-11T00:00:00Z,,,7.711,9.0,2022-02-11T12:28:48Z
508943,tt12801262,movie,Luca,2021-06-17T00:00:00Z,,,7.973,6.0,2022-02-11T12:29:01Z
436969,tt6334354,movie,The Suicide Squad,2021-07-28T00:00:00Z,,,7.711,4.0,2022-02-11T12:29:09Z
1930,tt0948470,movie,The Amazing Spider-Man,2012-06-23T00:00:00Z,,,6.651,6.0,2022-02-11T12:29:37Z
337404,tt3228774,movie,Cruella,2021-05-26T00:00:00Z,,,8.199,5.0,2022-02-11T12:29:48Z
791373,tt12361974,movie,Zack Snyder's Justice League,2021-03-18T00:00:00Z,,,8.332,6.0,2022-02-11T12:29:55Z
299536,tt4154756,movie,Avengers: Infinity War,2018-04-25T00:00:00Z,,,8.266,8.0,2022-02-11T12:29:59Z
379686,tt3554046,movie,Space Jam: A New Legacy,2021-07-08T00:00:00Z,,,7.142,2.0,2022-02-11T12:30:35Z
19995,tt0499549,movie,Avatar,2009-12-10T00:00:00Z,,,7.497,6.0,2022-02-11T12:30:47Z
527774,tt5109280,movie,Raya and the Last Dragon,2021-03-03T00:00:00Z,,,8.046,8.0,2022-02-11T12:30:53Z
656663,tt11466222,movie,Jackass Forever,2022-02-01T00:00:00Z,,,6.886,4.0,2022-02-11T12:31:12Z
610253,tt10665338,movie,Halloween Kills,2021-10-14T00:00:00Z,,,6.785,2.0,2022-02-11T12:31:32Z
429617,tt6320628,movie,Spider-Man: Far From Home,2019-06-28T00:00:00Z,,,7.513,6.0,2022-02-11T12:31:42Z
820511,tt14267154,movie,Ripper Untold,2021-06-28T00:00:00Z,,,6.607,2.0,2022-02-11T12:31:54Z
299534,tt4154796,movie,Avengers: Endgame,2019-04-24T00:00:00Z,,,8.283,8.0,2022-02-11T12:32:02Z
464052,tt7126948,movie,Wonder Woman 1984,2020-12-16T00:00:00Z,,,6.59,8.0,2022-02-11T12:32:21Z
324857,tt4633694,movie,Spider-Man: Into the Spider-Verse,2018-12-06T00:00:00Z,,,8.416,9.0,2022-02-11T12:32:41Z
284052,tt1211837,movie,Doctor Strange,2016-10-25T00:00:00Z,,,7.415,9.0,2022-02-11T12:32:48Z
602223,tt10327252,movie,The Forever Purge,2021-06-30T00:00:00Z,,,7.303,2.0,2022-02-11T12:32:54Z
458576,tt6475714,movie,Monster Hunter,2020-12-03T00:00:00Z,,,6.851,2.0,2022-02-11T12:33:03Z
672,tt0295297,movie,Harry Potter and the Chamber of Secrets,2002-11-13T00:00:00Z,,,7.733,6.0,2022-02-11T12:33:12Z
508442,tt2948372,movie,Soul,2020-12-25T00:00:00Z,,,8.205,8.0,2022-02-11T12:33:29Z
99861,tt2395427,movie,Avengers: Age of Ultron,2015-04-22T00:00:00Z,,,7.298,8.0,2022-02-11T12:33:44Z
637693,tt11084896,movie,Spirit Untamed,2021-05-20T00:00:00Z,,,7.586,6.0,2022-02-11T12:34:00Z
354912,tt2380307,movie,Coco,2017-10-27T00:00:00Z,,,8.229,6.0,2022-02-11T12:34:04Z
293660,tt1431045,movie,Deadpool,2016-02-09T00:00:00Z,,,7.598,9.0,2022-02-11T12:34:23Z
474350,tt7349950,movie,It Chapter Two,2019-09-04T00:00:00Z,,,6.897,1.0,2022-02-11T12:34:29Z
8960,tt0448157,movie,Hancock,2008-07-01T00:00:00Z,,,6.329,6.0,2022-02-11T12:34:36Z
808,tt0126029,movie,Shrek,2001-05-18T00:00:00Z,,,7.681,2.0,2022-02-11T12:34:50Z
14161,tt1190080,movie,2012,2009-10-10T00:00:00Z,,,5.788,4.0,2022-02-11T12:35:04Z
284053,tt3501632,movie,Thor: Ragnarok,2017-10-24T00:00:00Z,,,7.598,10.0,2022-02-11T12:35:17Z
98566,tt1291150,movie,Teenage Mutant Ninja Turtles,2014-08-07T00:00:00Z,,,5.887,4.0,2022-02-11T12:35:37Z
159211,tt2378191,movie,The Haunting of Helena,2013-01-14T00:00:00Z,,,5.564,2.0,2022-02-11T12:35:44Z
18785,tt1119646,movie,The Hangover,2009-06-02T00:00:00Z,,,7.298,8.0,2022-02-11T12:35:54Z
106646,tt0993846,movie,The Wolf of Wall Street,2013-12-25T00:00:00Z,,,8.021,10.0,2022-02-11T12:36:04Z
9373,tt0324216,movie,The Texas Chainsaw Massacre,2003-05-21T00:00:00Z,,,6.206,2.0,2022-02-11T12:36:36Z
138843,tt1457767,movie,The Conjuring,2013-07-18T00:00:00Z,,,7.532,2.0,2022-02-11T12:36:50Z
38575,tt1155076,movie,The Karate Kid,2010-06-10T00:00:00Z,,,6.486,4.0,2022-02-11T12:37:00Z
157336,tt0816692,movie,Interstellar,2014-11-05T00:00:00Z,,,8.358,10.0,2022-02-11T12:37:28Z
671043,tt13079150,movie,Pourris gâtés,2021-09-15T00:00:00Z,,,6.28,2.0,2022-02-11T12:37:45Z
8966,tt1099212,movie,Twilight,2008-11-20T00:00:00Z,,,6.292,4.0,2022-02-11T12:37:53Z
118,tt0367594,movie,Charlie and the Chocolate Factory,2005-07-13T00:00:00Z,,,7.024,4.0,2022-02-11T12:38:02Z
9637,tt0267913,movie,Scooby-Doo,2002-06-14T00:00:00Z,,,6.032,2.0,2022-02-11T12:38:06Z
296096,tt2674426,movie,Me Before You,2016-06-01T00:00:00Z,,,7.885,1.0,2022-02-11T12:38:33Z
950,tt0438097,movie,Ice Age: The Meltdown,2006-03-29T00:00:00Z,,,6.666,1.0,2022-02-11T12:39:05Z
475557,tt7286456,movie,Joker,2019-10-02T00:00:00Z,,,8.173,10.0,2022-02-11T12:39:15Z
278154,tt3416828,movie,Ice Age: Collision Course,2016-06-23T00:00:00Z,,,6.035,2.0,2022-02-11T12:39:25Z
10196,tt0938283,movie,The Last Airbender,2010-06-30T00:00:00Z,,,4.663,2.0,2022-02-11T12:39:34Z
602734,tt10342730,movie,Spiral: From the Book of Saw,2021-05-12T00:00:00Z,,,6.226,2.0,2022-02-11T12:39:40Z
57800,tt1667889,movie,Ice Age: Continental Drift,2012-06-27T00:00:00Z,,,6.339,2.0,2022-02-11T12:39:44Z
26123,tt1407050,movie,American Pie Presents: The Book of Love,2009-06-18T00:00:00Z,,,5.27,2.0,2022-02-11T12:39:48Z
345940,tt4779682,movie,The Meg,2018-08-09T00:00:00Z,,,6.203,2.0,2022-02-11T12:40:39Z
38365,tt1375670,movie,Grown Ups,2010-06-24T00:00:00Z,,,6.315,2.0,2022-02-11T12:40:51Z
643586,tt8114980,movie,Willy's Wonderland,2021-02-12T00:00:00Z,,,6.386,2.0,2022-02-11T12:41:10Z
723072,tt12749596,movie,Host,2020-12-04T00:00:00Z,,,6.624,2.0,2022-02-11T12:41:14Z
622420,tt10645682,movie,The Jack in the Box,2019-11-09T00:00:00Z,,,5.55,2.0,2022-02-11T12:41:28Z
91314,tt2109248,movie,Transformers: Age of Extinction,2014-06-25T00:00:00Z,,,5.876,2.0,2022-02-11T12:41:36Z
19908,tt1156398,movie,Zombieland,2009-10-07T00:00:00Z,,,7.265,10.0,2022-02-11T12:41:48Z
496243,tt6751668,movie,기생충,2019-05-30T00:00:00Z,,,8.521,10.0,2022-02-11T12:42:17Z
109418,tt2191701,movie,Grown Ups 2,2013-07-11T00:00:00Z,,,6.072,2.0,2022-02-11T12:42:25Z
439079,tt5814060,movie,The Nun,2018-09-05T00:00:00Z,,,5.835,1.0,2022-02-11T12:42:33Z
44912,tt1133985,movie,Green Lantern,2011-06-16T00:00:00Z,,,5.166,1.0,2022-02-11T12:42:43Z
11,tt0076759,movie,Star Wars,1977-05-25T00:00:00Z,,,8.202,10.0,2022-02-11T15:28:57Z
603,tt0133093,movie,The Matrix,1999-03-30T00:00:00Z,,,8.178,9.0,2022-02-11T15:29:08Z
238,tt0068646,movie,The Godfather,1972-03-14T00:00:00Z,,,8.706,10.0,2022-02-11T15:29:28Z
10585,tt0094862,movie,Child's Play,1988-11-08T00:00:00Z,,,6.61,2.0,2022-02-11T15:29:37Z
11932,tt0144120,movie,Bride of Chucky,1998-10-16T00:00:00Z,,,5.938,2.0,2022-02-11T15:29:41Z
10693,tt0046183,movie,Peter Pan,1953-02-05T00:00:00Z,,,7.235,2.0,2022-02-11T15:29:47Z
10607,tt0116126,movie,Don't Be a Menace to South Central While Drinking Your Juice in the Hood,1996-01-12T00:00:00Z,,,6.888,2.0,2022-02-11T15:30:03Z
1369,tt0089880,movie,Rambo: First Blood Part II,1985-05-21T00:00:00Z,,,6.587,4.0,2022-02-11T15:30:24Z
252,tt0067992,movie,Willy Wonka & the Chocolate Factory,1971-06-29T00:00:00Z,,,7.488,4.0,2022-02-11T15:30:30Z
11187,tt0103956,movie,Child's Play 3,1991-08-30T00:00:00Z,,,5.866,2.0,2022-02-11T15:30:36Z
268,tt0096895,movie,Batman,1989-06-23T00:00:00Z,,,7.202,10.0,2022-02-11T15:30:43Z
841,tt0087182,movie,Dune,1984-12-14T00:00:00Z,,,6.253,1.0,2022-02-11T15:30:54Z
16337,tt0092076,movie,The Texas Chainsaw Massacre 2,1986-08-22T00:00:00Z,,,5.635,1.0,2022-02-11T15:31:00Z
620,tt0087332,movie,Ghostbusters,1984-06-08T00:00:00Z,,,7.453,10.0,2022-02-11T15:31:04Z
8467,tt0109686,movie,Dumb and Dumber,1994-12-16T00:00:00Z,,,6.582,2.0,2022-02-11T15:31:10Z
1368,tt0083944,movie,First Blood,1982-10-22T00:00:00Z,,,7.443,4.0,2022-02-11T15:31:32Z
11186,tt0099253,movie,Child's Play 2,1990-11-09T00:00:00Z,,,6.194,1.0,2022-02-11T15:32:15Z
2758,tt0106220,movie,Addams Family Values,1993-11-19T00:00:00Z,,,6.89,6.0,2022-02-11T15:32:30Z
11811,tt0107387,movie,Leprechaun,1993-01-08T00:00:00Z,,,5.542,1.0,2022-02-11T15:32:46Z
34584,tt0088323,movie,Die unendliche Geschichte,1984-04-05T00:00:00Z,,,7.19,6.0,2022-02-11T15:32:52Z
600,tt0093058,movie,Full Metal Jacket,1987-06-26T00:00:00Z,,,8.135,4.0,2022-02-11T15:33:04Z
16780,tt0110978,movie,Texas Chainsaw Massacre: The Next Generation,1995-10-21T00:00:00Z,,,4.153,1.0,2022-02-11T15:33:11Z
364,tt0103776,movie,Batman Returns,1992-06-19T00:00:00Z,,,6.869,9.0,2022-02-11T15:33:27Z
169,tt0100403,movie,Predator 2,1990-11-20T00:00:00Z,,,6.198,2.0,2022-02-11T15:33:39Z
6499,tt0120389,movie,Turbo: A Power Rangers Movie,1997-03-27T00:00:00Z,,,5.704,1.0,2022-02-11T15:33:55Z
15969,tt0107952,movie,The Return of Jafar,1994-05-20T00:00:00Z,,,6.083,2.0,2022-02-11T15:34:02Z
103,tt0075314,movie,Taxi Driver,1976-02-09T00:00:00Z,,,8.184,4.0,2022-02-11T15:34:23Z
9360,tt0118615,movie,Anaconda,1997-04-11T00:00:00Z,,,5.129,4.0,2022-02-11T15:34:30Z
9798,tt0120660,movie,Enemy of the State,1998-11-20T00:00:00Z,,,6.959,5.0,2022-02-11T15:34:42Z
19286,tt0113636,movie,Leprechaun 3,1995-07-04T00:00:00Z,,,5.878,1.0,2022-02-11T15:34:51Z
947,tt0056172,movie,Lawrence of Arabia,1962-12-11T00:00:00Z,,,7.972,8.0,2022-02-11T15:35:02Z
85,tt0082971,movie,Raiders of the Lost Ark,1981-06-12T00:00:00Z,,,7.916,8.0,2022-02-11T15:35:20Z
73,tt0120586,movie,American History X,1998-07-01T00:00:00Z,,,8.37,8.0,2022-02-11T15:35:29Z
185,tt0066921,movie,A Clockwork Orange,1971-12-19T00:00:00Z,,,8.227,6.0,2022-02-11T15:35:44Z
345,tt0120663,movie,Eyes Wide Shut,1999-07-16T00:00:00Z,,,7.457,10.0,2022-02-11T15:36:00Z
10014,tt0089686,movie,A Nightmare on Elm Street Part 2: Freddy's Revenge,1985-11-01T00:00:00Z,,,5.806,2.0,2022-02-11T15:36:11Z
62,tt0062622,movie,2001: A Space Odyssey,1968-04-02T00:00:00Z,,,8.082,6.0,2022-02-11T15:36:15Z
9651,tt0088206,movie,Supergirl,1984-07-01T00:00:00Z,,,5.52,2.0,2022-02-11T15:36:46Z
621,tt0077631,movie,Grease,1978-07-07T00:00:00Z,,,7.405,2.0,2022-02-11T15:36:54Z
619,tt0103855,movie,The Bodyguard,1992-11-25T00:00:00Z,,,6.652,3.0,2022-02-11T15:37:02Z
